"","X","RouteDataID","CountryNum","StateNum","Route","RPID","Year","AOU","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","Count10","Count20","Count30","Count40","Count50","StopTotal","SpeciesTotal","Month","Day","ObsN","TotalSpp","StartTemp","EndTemp","TempScale","StartWind","EndWind","StartSky","EndSky","StartTime","EndTime","Assistant","QualityCurrentID","RunType"
"34",34,6246372,840,2,1,101,2001,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,3,1040624,58,20,NA,"C",0,2,1,2,506,1105,"0   ",1,1
"35",35,6234932,840,2,1,101,2002,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,16,1040624,61,60,NA,"F",0,0,0,0,506,950,"0   ",1,1
"36",36,6234984,840,2,1,101,2003,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,15,1040624,66,68,NA,"F",1,1,2,1,506,958,"0   ",1,1
"37",37,6235104,840,2,1,101,2004,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,20,1040624,62,68,NA,"F",2,1,1,2,506,946,"0   ",1,1
"38",38,6247052,840,2,1,101,2005,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,25,1040624,59,68,NA,"F",0,1,2,1,506,946,"0   ",1,1
"39",39,6251182,840,2,1,101,2006,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,11,1040624,64,68,NA,"F",0,2,0,0,506,940,"NULL",1,1
"40",40,6262521,840,2,1,101,2007,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,24,1040624,64,69,NA,"F",0,0,1,2,506,935,"NULL",1,1
"41",41,6299364,840,2,1,101,2008,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,15,1040624,61,69,NA,"F",0,1,0,2,506,1005,"NULL",1,1
"42",42,6312652,840,2,1,101,2009,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,14,1040624,58,69,NA,"F",0,0,2,2,506,937,"NULL",1,1
"43",43,6319364,840,2,1,101,2010,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,13,1040624,61,74,NA,"F",0,1,0,0,506,955,"NULL",1,1
"44",44,6341051,840,2,1,101,2011,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,12,1040624,69,72,NA,"F",0,1,0,0,506,948,"NULL",1,1
"45",45,6346801,840,2,1,101,2012,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,17,1040624,59,70,NA,"F",0,1,0,0,506,1002,"NULL",1,1
"46",46,6353055,840,2,1,101,2013,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,18,1040624,69,66,NA,"F",0,2,0,2,506,1015,"0   ",1,1
"47",47,6356855,840,2,1,101,2014,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,8,1040624,69,67,NA,"F",0,2,1,2,506,1025,"0   ",1,1
"48",48,6360241,840,2,1,101,2015,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,7,1040624,70,73,NA,"F",0,0,0,0,506,1020,"0   ",1,1
"49",49,6362135,840,2,1,101,2016,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,5,30,1040624,63,21,NA,"C",0,0,0,1,506,1015,"0   ",1,1
"50",50,6365905,840,2,1,101,2017,700,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,0,0,0,0,0,0,0,6,11,1040624,64,68,NA,"F",1,2,0,1,506,955,"0   ",1,1
